Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Bills K.L., Jeter D.C., Stein S.E.","56593320200;6602975176;57188739800;","Auditor industry specialization and evidence of cost efficiencies in homogenous industries",2015,"Accounting Review","90","5",,"1721","1754",,38,"10.2308/accr-51003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962705038&doi=10.2308%2faccr-51003&partnerID=40&md5=88d0485cbbc220ac863f073784b64531","University of Arkansas, United States; Vanderbilt University, United States; Virginia Polytechnic Institute and State University, United States","Bills, K.L., University of Arkansas, United States; Jeter, D.C., Vanderbilt University, United States; Stein, S.E., Virginia Polytechnic Institute and State University, United States","This study examines the audit pricing effects when auditors specialize in industries conducive to transferable audit processes. Our results indicate that industry specialists charge incrementally lower fees in industries with homogenous operations, and particularly in industries with both homogenous operations and complex accounting practices. Moreover, we discover that audit quality is no lower for clients audited by these specialists offering fee discounts, consistent with a conclusion that the reduction in fees indicates cost efficiencies rather than lower-quality audits. Further analysis indicates that the shared economies of scale only occur in a subsample of client firms with relatively high bargaining power. When considered in conjunction with prior research using a survivorship approach, our study provides evidence that certain industries lend themselves to specialization because auditors generate cost-based competitive advantages without compromising service quality.","Audit fees; Auditor industry specialization; Complex industries; Economies of scale; Homogenous industries",,Conference Paper,"Final","",Scopus,2-s2.0-84962705038
"Luo S., Nagarajan N.J.","36552787800;7004203732;","Information complementarities and supply chain analysts",2015,"Accounting Review","90","5",,"1995","2029",,9,"10.2308/accr-51011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962676353&doi=10.2308%2faccr-51011&partnerID=40&md5=a5d4cd39d2b9deb79c1aca204dedc7cd","National University of Singapore, Singapore; University of Texas at Arlington, United States","Luo, S., National University of Singapore, Singapore; Nagarajan, N.J., University of Texas at Arlington, United States","This study examines the antecedents and consequences of analysts choosing to become supply chain analysts (i.e., analysts following both a supplier and its major customer). We find that information complementarities between firms in the same supply chain, between a supplier firm and its industry peer firms, and between the supplier's major customer and other firms in analysts' portfolio affect their supply chain specialization decision. The potential revenues supplier firms generate for analysts' brokerage houses also significantly affect this decision. While supply chain analysts achieve superior forecast performance compared to non-supply chain analysts for supplier firms, they provide lower-quality forecasts for other firms in their portfolios. These findings suggest that analysts allocate resources strategically. Our results are robust to techniques designed to address the potential endogeneity of analysts' supply chain portfolio choices.","Analyst forecast; Analyst portfolio; Information complementarities; Supply chain",,Conference Paper,"Final","",Scopus,2-s2.0-84962676353
"Sridharan S.A.","57188732924;","Volatility forecasting using financial statement information",2015,"Accounting Review","90","5",,"2079","2103",,13,"10.2308/accr-51025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962658771&doi=10.2308%2faccr-51025&partnerID=40&md5=0febc10adc92134b0a33a5d250bacabd","University of California, Los Angeles, United States","Sridharan, S.A., University of California, Los Angeles, United States","This paper examines whether financial statement information can predict future realized equity volatility incremental to market-based equity volatility forecasts. I use an analytical framework to identify accounting-based drivers of realized volatility. My main hypothesis is that accounting-based drivers can be used to forecast future realized volatility incremental to either past realized volatility or option-implied volatility. I confirm this empirically and document abnormal returns to an option-based trading strategy that takes a long (short) position in firms with financial statement information indicative of high (low) future realized volatility. These results suggest that accounting-based volatility drivers may serve as useful indicators of variance risk. Finally, I demonstrate that the incorporation of accounting-based fundamental information into forecasting models yields lower forecast errors relative to models based solely on past realized volatility.","Fundamental analysis; Option pricing; Variance risk; Volatility",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84962658771
"Caskey J., Hughes J.S., Liu J.","35219559800;55449755200;57209032689;","Strategic informed trades, diversification, and expected returns",2015,"Accounting Review","90","5",,"1811","1837",,8,"10.2308/accr-51026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962648672&doi=10.2308%2faccr-51026&partnerID=40&md5=2ce26ffb1b05d4ee3b3f603632d298db","University of California, Los Angeles, United States; University of California, San Diego, United States","Caskey, J., University of California, Los Angeles, United States; Hughes, J.S., University of California, Los Angeles, United States; Liu, J., University of California, San Diego, United States","We examine how strategic trade affects expected returns in a large economy. In our model, both a monopolist (strategic) informed trader and uninformed traders consider the impact of their demands on prices. In contrast to settings with price-taking traders, private information never eliminates a priced risk, and can lead to higher risk premiums. Also unlike settings with price-taking informed traders, risk premiums decrease in response to an increase in liquidity-motivated trades in diversified portfolios. These differing effects arise because a privately informed strategic trader conceals her trades by taking small positions relative to the magnitude of noise trades. Although prices partially reveal her information and reduce uncertainty, a concomitant decrease in her risk absorption dominates and leads to higher risk premiums. Similar to settings with price-taking traders, private information affects expected returns only via factor loadings and risk premiums on existing payoff risks-it introduces no new priced risks, and factor loadings (betas) explain all cross-sectional differences in expected returns.","Diversification; Expected returns; Large economy; Strategic trading",,Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84962648672
"Ohlson J.A., Bilinski P.","7003453530;44661265100;","Risk versus anomaly: A new methodology applied to accruals",2015,"Accounting Review","90","5",,"2057","2077",,3,"10.2308/accr-50984","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962630321&doi=10.2308%2faccr-50984&partnerID=40&md5=4a4b698a92651019d2345c709d2652dc","Hong Kong Polytechnic University, Cheung Kong Graduate School of Business, Hong Kong; City University London, United Kingdom","Ohlson, J.A., Hong Kong Polytechnic University, Cheung Kong Graduate School of Business, Hong Kong; Bilinski, P., City University London, United Kingdom","Research suggesting the existence of the accrual anomaly runs into the issue that risk serves as a competing explanation for abnormal returns. This paper proposes a novel approach to distinguish between risk and anomaly explanations for the negative association between accruals and returns. The intuition is that high-risk stocks should experience relatively high and low returns more often than low-risk stocks. Thus, a variable that has the opposite correlations with high returns than with low returns is unlikely to capture risk, which points toward an anomaly. The paper implements this perspective via two logistic regressions predicting relatively high and low returns. Controlling for standard risk measures, we document that low accruals increase the probability of large positive returns, but reduce the likelihood of large negative returns. This finding is inconsistent with the prediction that accruals reflect risk and supports the hypothesis that the accrual ""anomaly"" is indeed an anomaly.","New research method; Risk and anomaly explanations; The accrual anomaly",,Conference Paper,"Final","",Scopus,2-s2.0-84962630321
"Bol J.C., Lill J.B.","36616947600;57188737368;","Performance target revisions in incentive contracts: Do information and trust reduce ratcheting and the ratchet effect?",2015,"Accounting Review","90","5",,"1755","1778",,18,"10.2308/accr-51050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962629831&doi=10.2308%2faccr-51050&partnerID=40&md5=2ac999adb8fb2d395cab0a3c673cccee","Tulane University, United States; Georgia State University, United States","Bol, J.C., Tulane University, United States; Lill, J.B., Georgia State University, United States","In this study, we examine a setting where principals use past performance to annually revise performance targets, but do not fully incorporate the past performance information in their target revisions. We argue that this situation is driven by some principals and agents having an implicit agreement where the principal ""allows"" the agent to receive economic rents from positive performance-target deviations that are the result of superior effort or transitory gains by not revising targets upward, while the agent ""accepts"" target revisions by not restricting output when these revisions are the result of structural changes in the operation's true economic capacity. Although both the principal and the agent can benefit from an implicit agreement, we argue that for the implicit agreement to be maintainable, the principal either needs information on the cause of the performance-target deviation or there needs to be trust between the principal and the agent. Using archival data across multiple years and independent bank units, we find a pattern of ratchet attenuation and output restriction that is consistent with the existence of implicit agreements for those principal-agent dyads where information asymmetry is sufficiently reduced or mutual trust exists.","Compensation contracts; Environmental volatility; Peer performance; Performance targets; Ratcheting; The ratchet effect; Trust",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84962629831
"Evans M.E., Houston R.W., Peters M.F., Pratt J.H.","56006367100;7006185542;56375353000;7203084457;","Reporting regulatory environments and earnings management: U.S. and non-U.S. firms using U.S. GAAP or IFRS",2015,"Accounting Review","90","5",,"1969","1994",,26,"10.2308/accr-51008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954388923&doi=10.2308%2faccr-51008&partnerID=40&md5=ef59657a5bd933b7bb10f53d1086ce31","Wake Forest University, United States; University of Alabama, United States; Villanova University, United States; Indiana University, United States","Evans, M.E., Wake Forest University, United States; Houston, R.W., University of Alabama, United States; Peters, M.F., Villanova University, United States; Pratt, J.H., Indiana University, United States","Based on data collected from 616 experienced financial officers who use U.S. GAAP or IFRS and are domiciled in the U.S., Europe, or Asia, we examine how reporting standards (U.S. GAAP versus IFRS) and domicile (U.S. versus non-U.S.) affect earnings management (real versus accrual). U.S. firms using U.S. GAAP rely more heavily on real methods than non-U.S. firms that use either IFRS or U.S. GAAP and U.S. firms using IFRS. U.S. firms using U.S. GAAP operate in an environment that encourages real over accruals methods; specifically, U.S. GAAP facilitates detection of earnings management, and enforcement is more effective in the U.S. Further, the likelihood and amount of earnings management do not differ across conditions, suggesting that firms using less accruals earnings management tend to fully compensate by increasing real methods. So stronger reporting environments do not necessarily reduce total earnings management, but instead encourage substitution of real for accruals methods.","Earnings management; IFRS; Regulation",,Conference Paper,"Final","",Scopus,2-s2.0-84954388923
"Choi J.J., Mao C.X., Upadhyay A.D.","7501395588;7201499749;25650634100;","Earnings management and derivative hedging with fair valuation: Evidence from the effects of FAS 133",2015,"Accounting Review","90","4",,"1437","1467",,15,"10.2308/accr-50972","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954563378&doi=10.2308%2faccr-50972&partnerID=40&md5=3a8365f9870f82496d6c754447149fa1","Temple University, Reno, United States; University of Nevada, Reno, United States","Choi, J.J., Temple University, Reno, United States; Mao, C.X., Temple University, Reno, United States; Upadhyay, A.D., University of Nevada, Reno, United States","Barton (2001) and Pincus and Rajgopal (2002) show that earnings management through discretionary accruals and derivative hedging are partial substitutes in smoothing earnings before 1999. In this study, we investigate whether Financial Accounting Standard (FAS) 133 regarding hedge accounting in 2000 has influenced the relative merit of the two earnings-smoothing methods. Based on a sample of S&P 500 nonfinancial firms during 1996-2006, we find that the substitution relation between derivative hedging and discretionary accrual is significantly attenuated after FAS 133 implementation. We also document a significant increase in earnings volatility associated with derivative hedging post-FAS 133. These results are robust to the use of various model and method specifications, as well as controlling for contemporaneous macroeconomic and regulatory shocks. Overall, our results suggest that a material change in an accounting rule regarding derivatives can influence the level and volatility of reported earnings, as well as the method of income smoothing.","Corporate risk management; Derivative hedging; Discretionary accrual; Earnings management; Fair value accounting; FAS 133; Income smoothing",,Article,"Final","",Scopus,2-s2.0-84954563378
"Mayew W.J., Sethuraman M., Venkatachalam M.","14630612100;57062336200;7005713122;","MD&A disclosure and the firm's ability to continue as a going concern",2015,"Accounting Review","90","4",,"1621","1651",,40,"10.2308/accr-50983","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954560791&doi=10.2308%2faccr-50983&partnerID=40&md5=1e6a2fe9ff2126871aa397fe1fd2f039","Duke University, United States","Mayew, W.J., Duke University, United States; Sethuraman, M., Duke University, United States; Venkatachalam, M., Duke University, United States","This paper explores the role of textual disclosures in the Management, Discussion, and Analysis (MD&A) section of a firm's SEC 10-K filing in predicting a firm's ability to continue as a going concern. Using a sample of firms that filed for bankruptcy between 1995 and 2012 to identify firms that cease as a going concern, we find that both management's opinion about going concern reported in the MD&A and the linguistic tone of the MD&A together provide significant explanatory power in predicting whether a firm will cease as a going concern. Moreover, the predictive ability of MD&A disclosure is incremental to financial ratios, market-based variables, and even the auditor's going concern opinion. We also find that the incremental predictive ability of MD&A disclosures extends to three years prior to bankruptcy.","Auditor opinion; Bankruptcy prediction; FASB; Going concern; PCAOB; Voluntary disclosure",,Article,"Final","",Scopus,2-s2.0-84954560791
"Ke B., Lennox C.S., Xin Q.","7005716046;14521159700;55261183500;","The effect of China's weak institutional environment on the quality of big 4 audits",2015,"Accounting Review","90","4",,"1591","1619",,65,"10.2308/accr-50943","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954555545&doi=10.2308%2faccr-50943&partnerID=40&md5=4542126f0d540bd3bd03fdc50b65d8e8","Nanyang Technological University, Singapore; Chongqing University, China","Ke, B., Nanyang Technological University, Singapore; Lennox, C.S., Nanyang Technological University, Singapore; Xin, Q., Chongqing University, China","This study examines whether China's weak institutional environment results in lower-quality audits by the Big 4 firms. We find that the Big 4 assign their less experienced partners to companies that are listed only in China compared with clients cross-listed in Hong Kong. The Big 4 are less likely to issue modified audit reports, and they charge lower audit fees for clients that are listed only in China. Finally, companies listed only in China have larger signed abnormal accruals than do companies crosslisted in Hong Kong. Overall, we conclude that the weak institutional environment in China results in the Big 4 firms providing lower-quality audits to companies that are listed only in China.","Audit quality; Big 4; China",,Article,"Final","",Scopus,2-s2.0-84954555545
"Lee C.M.C., Li K.K., Zhang R.","55682270800;57061180700;55370703800;","Shell games: The long-term performance of Chinese reverse-merger firms",2015,"Accounting Review","90","4",,"1547","1589",,31,"10.2308/accr-50960","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954550549&doi=10.2308%2faccr-50960&partnerID=40&md5=06b4b357e3eaa57b270369de3ec61f0e","Stanford University, United States; University of Toronto, Canada; Peking University, China","Lee, C.M.C., Stanford University, United States; Li, K.K., University of Toronto, Canada; Zhang, R., Peking University, China","We examine the financial health and performance of reverse mergers (RMs) that became active on U.S. stock markets between 2001 and 2010, particularly those from China (around 85 percent of all foreign RMs). As a group, RMs are earlystage companies that typically trade over the counter. However, Chinese RMs (CRMs) tend to be more mature and less speculative than either their U.S. counterparts or a group of exchange-industry-size-matched firms. As a group, CRMs outperformed their matched peers from inception through the end of 2013, even after including most of the firms accused of accounting fraud. CRMs that receive private investment in public equity (PIPE) financing from sophisticated investors perform particularly well. Overall, despite the negative publicity, we find little evidence that CRMs are inherently toxic investments. Our results shed light on the risk-performance trade-off for CRMs, as well as the delicate balance between credibility and access in well-functioning markets.","Accounting fraud; Cash flow life cycle; Chinese firms; Listing requirements; Private investment in public equity (PIPE) financing; Reverse mergers",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84954550549
"Libby R., Tan H.-T., Hunton J.E.","7006498297;7403011560;7004658591;","Erratum: Does the Form of Management's Earnings Guidance Affect Analysts' Earnings Forecasts? (Accounting Review (2006) 81:1 (207-225))",2015,"Accounting Review","90","4",,"1713","",,,"10.2308/accr-10436","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954546942&doi=10.2308%2faccr-10436&partnerID=40&md5=27104c791290dc121917bcde74589d91","Cornell University, United States; Nanyang Technological University, Singapore; Bentley College, Universiteit Maastricht, Netherlands","Libby, R., Cornell University, United States; Tan, H.-T., Nanyang Technological University, Singapore; Hunton, J.E., Bentley College, Universiteit Maastricht, Netherlands",[No abstract available],,,Erratum,"Final","All Open Access, Bronze",Scopus,2-s2.0-84954546942
"Huang H.-W., Raghunandan K., Huang T.-C., Chiou J.-R.","55883087000;6602619453;56381786600;8908183900;","Fee discounting and audit quality following audit firm and audit partner changes: Chinese evidence",2015,"Accounting Review","90","4",,"1517","1546",,34,"10.2308/accr-50958","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954528790&doi=10.2308%2faccr-50958&partnerID=40&md5=5cf2a283c17e771e26630252031ec26f","National Cheng Kung University, Taiwan; Florida International University, United States; Monash University, Australia","Huang, H.-W., National Cheng Kung University, Taiwan; Raghunandan, K., Florida International University, United States; Huang, T.-C., Monash University, Australia; Chiou, J.-R., National Cheng Kung University, Taiwan","Issues related to low-balling of initial year audit fees and the resultant impact on audit quality have received significant attention from regulators in many countries. Using 9,684 observations from China during the years 2002-2011, we find that there is a significant initial year audit fee discount following an audit firm change when both of the signing audit partners are different from the prior year. The evidence is mixed if one or both of the signing partners from the prior year also moves with the client to the new audit firm. We find evidence of audit fee discounting in our analysis of fee levels, but not in our analysis of changes in audit fees from the prior year. Sanctions for problem audits and greater earnings management are more likely when there is an audit firm change that involves two new signing partners together with initial year audit fee discounting.","Audit fees; Audit quality; Auditor changes",,Article,"Final","",Scopus,2-s2.0-84954528790
"Bowlin K.O., Hobson J.L., Piercey M.D.","23989980100;8673282300;36598300100;","The effects of auditor rotation, professional skepticism, and interactions with managers on audit quality",2015,"Accounting Review","90","4",,"1363","1393",,30,"10.2308/accr-51032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954520077&doi=10.2308%2faccr-51032&partnerID=40&md5=c2a1bbaa1ee7c576f7331e8682f86ebb","University of Mississippi, United States; University of Illinois at Urbana-Champaign, United States; University of Massachusetts Amherst, United States","Bowlin, K.O., University of Mississippi, United States; Hobson, J.L., University of Illinois at Urbana-Champaign, United States; Piercey, M.D., University of Massachusetts Amherst, United States","We examine whether the effect of mandatory auditor rotation on audit quality depends on the mental frame auditors adopt in evaluating management representations. In practice, auditors can alternately frame their assessments of management representations in terms of their potential dishonesty (what we term skepticism) or potential honesty. Using psychology theory and a laboratory experiment, we predict and find that mandatory rotation improves audit quality when an auditor takes an honesty frame, but that this effect reverses when an auditor takes a skeptical frame. Thus, the benefit of using a skeptical frame occurs when auditors do not rotate, but requiring rotation can reduce audit effort for auditors using a skeptical frame. An implication of our study is that focusing auditors on a skeptical assessment frame rather than mandating auditor rotation may be a less costly way to reduce low-effort audits and aggressive reporting.","Audit quality; Auditor rotation; Game theory; Professional skepticism",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84954520077
"Seybert N.","26868207000;","Erratum: Section IV: Survey in R&D Capitalization and Reputation-Driven Real Earnings Management (Accounting Review (2010) 85:2 (671-693) DOI: 10.2308/accr.2010.58.2.671)",2015,"Accounting Review","90","4",,"1707","",,1,"10.2308/accr-10453","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954519566&doi=10.2308%2faccr-10453&partnerID=40&md5=82b0c4b28efb0885669c59ed407cc8d6","University of Texas, Austin, United States","Seybert, N., University of Texas, Austin, United States",[No abstract available],,,Erratum,"Final","All Open Access, Bronze",Scopus,2-s2.0-84954519566
"Chen L., Ng J., Tsang A.","57192611103;57061686300;36775629500;","The effect of mandatory IFRS adoption on international cross-listings",2015,"Accounting Review","90","4",,"1395","1435",,20,"10.2308/accr-50982","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954511186&doi=10.2308%2faccr-50982&partnerID=40&md5=8197c4d78dbcfaa24d5e69e8bc897230","George Mason University, United States; Chinese University of Hong Kong, Hong Kong","Chen, L., George Mason University, United States; Ng, J., Chinese University of Hong Kong, Hong Kong; Tsang, A., Chinese University of Hong Kong, Hong Kong","Using a comprehensive dataset of international cross-listings spanning 34 (50) home (target) countries, we examine whether mandatory IFRS adoption facilitates firms' cross-listing activities. Our results using difference-in-differences analyses show that firms that mandatorily adopt IFRS exhibit significantly higher cross-listing propensity and intensity following IFRS adoption. We also find that firms from mandatory IFRS adoption countries are more likely to cross-list their securities in countries also mandating IFRS and countries with larger and more liquid capital markets. We further find that IFRS adoption has a greater effect on mandatory IFRS adopters from countries with larger accounting differences from IFRS, lower disclosure requirements, and less access to external capital prior to IFRS adoption. Our findings are consistent with the notion that mandatory IFRS adoption facilitates firms' cross-listing activities and highlight the importance of considering the change in cross-listings when examining the capital market consequences of mandatory IFRS adoption.","Cross-listing; GAAP difference; Mandatory IFRS adoption",,Article,"Final","",Scopus,2-s2.0-84954511186
"Abernethy M.A., Kuang Y.F., Qin B.","7004386248;25653692100;25723730700;","The influence of CEO power on compensation contract design",2015,"Accounting Review","90","4",,"1265","1306",,45,"10.2308/accr-50971","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954506742&doi=10.2308%2faccr-50971&partnerID=40&md5=eaa55daba183ce2858fef92efa8b4632","University of Melbourne, Australia","Abernethy, M.A., University of Melbourne, Australia; Kuang, Y.F., University of Melbourne, Australia; Qin, B., University of Melbourne, Australia","We investigate whether CEO power influences a firm's decision to change its compensation system in response to regulatory and public pressure. In particular, we assess whether CEO power influences the choice of performance measures as a form of camouflage to minimize the impact of these reforms on their wealth. We examine one component of CEO pay, namely, the use of performance-vested stock option (PVSO) plans, and find that firms with powerful CEOs attach less challenging targets in the initial PVSOs granted to their CEOs. Such firms also appear to adopt PVSO plans early, and are more likely to do so when faced with public outrage over executive compensation. Our results suggest that powerful CEOs attempt to appease public outrage by quickly adopting PVSOs, but that adopting PVSOs early does not appear to be an optimal strategy for increasing shareholder value. Regulators intended that implementation of PVSOs would be beneficial to shareholders by improving the link between CEO pay and firm performance. However, our results indicate that powerful CEOs can negate some of the beneficial effect of PVSOs through their influence on adoption and choice of performance targets.","Incentive contracts; Managerial power; Stock options",,Article,"Final","",Scopus,2-s2.0-84954506742
"Bonaimé A.A.","36459694900;","Mandatory disclosure and firm behavior: Evidence from share repurchases",2015,"Accounting Review","90","4",,"1333","1362",,12,"10.2308/accr-51027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954504572&doi=10.2308%2faccr-51027&partnerID=40&md5=eb588372eef2ba36f7ed2d543f0d8f3e","University of Kentucky, United States","Bonaimé, A.A., University of Kentucky, United States","This paper examines changes in corporate behavior around the 2003 modification to SEC Rule 10b-18, which mandates enhanced disclosure of repurchase transactions. Firms announce significantly fewer and slightly smaller open market repurchase plans in the enhanced disclosure environment. However, completion rates (the amount of stock repurchased as a percentage of the announced amount) significantly increase. More conservative announcement strategies and more aggressive completion rates are consistent with a decline in false signaling. Indeed, open market repurchase announcements are viewed as more credible, on average, in the enhanced disclosure environment; after controlling for firm characteristics, cumulative abnormal announcement returns are significantly greater in the high disclosure period. As with any analysis based on a regulatory change affecting all firms simultaneously, other unobservable, macroeconomic trends could have affected repurchase behavior. Nonetheless, these results are consistent with significant changes in corporate behavior around new mandatory disclosures.","Disclosure; Information asymmetry; Repurchase completion rate; Share buyback; Share repurchases",,Article,"Final","",Scopus,2-s2.0-84954504572
"Hunton J.E., Mauldin E.G., Wheeler P.R.","7004658591;6701839915;26024959700;","Erratum: Potential Functional and Dysfunctional Effects of Continuous Monitoring (Accounting Review (2008) 83:6 (1551-1569) DOI: 10.2308/accr.2008.83.6.1551)",2015,"Accounting Review","90","4",,"1709","",,,"10.2308/accr-10433","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954501323&doi=10.2308%2faccr-10433&partnerID=40&md5=8453a002dd26c3b7ddf7471f12a8e0c3","Bentley College, United States; University of Missouri, United States","Hunton, J.E., Bentley College, United States; Mauldin, E.G., University of Missouri, United States; Wheeler, P.R., University of Missouri, United States",[No abstract available],,,Erratum,"Final","All Open Access, Bronze",Scopus,2-s2.0-84954501323
"De Simone L., Ege M.S., Stomberg B.","56034521300;55750287500;56035025000;","Internal control quality: The role of auditor-provided tax services",2015,"Accounting Review","90","4",,"1469","1496",,26,"10.2308/accr-50975","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954494029&doi=10.2308%2faccr-50975&partnerID=40&md5=ce2e3cb9083e0346706d978a366071b0","Stanford University, United States; Texas A and M University, United States; University of Georgia, United States","De Simone, L., Stanford University, United States; Ege, M.S., Texas A and M University, United States; Stomberg, B., University of Georgia, United States","We propose that auditor-provided tax services (tax NAS) improve internal control quality by accelerating audit firm awareness of transactions material to the financial statements. Using data from 2004 to 2012, we find robust evidence that companies purchasing tax NAS are significantly less likely to disclose a material weakness and that this result is not due to auditor independence impairment. A onestandard-deviation increase in tax NAS is associated with approximately a 13 percent decrease in the rate of material weaknesses relative to the base rate. These results are robust to tests addressing endogeneity concerns. Additional cross-sectional analyses reveal expected increased effects of tax NAS on internal control quality (1) after significant operational changes that require changes to the internal control structure, and (2) earlier in the relationship with the financial statement audit firm, when there are fewer established lines of communication between the audit team and client. This paper contributes to the knowledge spillover literature by identifying a mechanism through which tax NAS improve overall financial reporting quality.","Auditor fees; Auditor independence; Financial reporting quality; Internal controls; Nonaudit services; Tax",,Article,"Final","",Scopus,2-s2.0-84954494029
"Hunton J.E., Libby R., Mazza C.L.","7004658591;7006498297;57217539880;","Erratum: Financial Reporting Transparency and Earnings Management (Accounting Review (2006) 81:1 (135-157))",2015,"Accounting Review","90","4",,"1711","",,,"10.2308/accr-10435","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954493168&doi=10.2308%2faccr-10435&partnerID=40&md5=b145d83b0d4fb4f2775eca406a62b667","Bentley College, United States; Cornell University, United States; Fordham University, United States","Hunton, J.E., Bentley College, United States; Libby, R., Cornell University, United States; Mazza, C.L., Fordham University, United States",[No abstract available],,,Erratum,"Final","",Scopus,2-s2.0-84954493168
"Hunton J.E., McEwen R.A.","7004658591;7004905398;","Erratum: An Assessment of the Relation Between Analysts' Earnings Forecast Accuracy, Motivational Incentives and Cognitive Information Search Strategy (Accounting Review (1997) 72:4 (497-515))",2015,"Accounting Review","90","4",,"1717","",,,"10.2308/accr-10450","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954489779&doi=10.2308%2faccr-10450&partnerID=40&md5=915b932bc2d1aa8b7d32522031bcfb72","University of South Florida, United States; Virginia Commonwealth University, United States","Hunton, J.E., University of South Florida, United States; McEwen, R.A., Virginia Commonwealth University, United States",[No abstract available],,,Erratum,"Final","",Scopus,2-s2.0-84954489779
"Hales J., Wang L.W., Williamson M.G.","7102780803;57061024900;23098716300;","Selection benefits of stock-based compensation for the rank-and-file",2015,"Accounting Review","90","4",,"1497","1516",,11,"10.2308/accr-50962","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954478659&doi=10.2308%2faccr-50962&partnerID=40&md5=adf07f4adcf79d8cd8464801b9624364","Georgia Institute of Technology, United States; University of Illinois at Urbana-Champaign, United States; University of Texas at Austin, United States","Hales, J., Georgia Institute of Technology, United States; Wang, L.W., University of Illinois at Urbana-Champaign, United States; Williamson, M.G., University of Texas at Austin, United States","We investigate a potential selection benefit of stock-based compensation for rank-and-file employees, whose pay under this compensation form is insensitive to their individual efforts. We use a laboratory experiment to demonstrate that individuals with higher levels of dispositional optimism are more likely to choose compensation that is contingent on a company's future stock price than to choose fixed pay, even after controlling for the individual's risk preferences. Furthermore, compared to participants selecting fixed pay, those selecting stock-based compensation also perform better on a challenging problem-solving task, a result that we show is due to their higher levels of dispositional optimism. Collectively, we demonstrate that stock-based compensation can have productivity-enhancing effects, even if stock prices are completely insensitive to individual efforts. In doing so, we provide a partial explanation for the puzzling prevalence of stock-based compensation plans at the rank-and-file level and contribute to the broader contract-selection literature.","Contract self-selection; Employee optimism; Stock-based compensation",,Article,"Final","",Scopus,2-s2.0-84954478659
"Bhojraj S., Libby R.","6701521606;7006498297;","Erratum: Capital Market Pressure, Disclosure Frequency-Induced Earnings/Cash Flow Conflict, and Managerial Myopia (Accounting Review (2005) 80:1 (1-20))",2015,"Accounting Review","90","4",,"1715","",,,"10.2308/accr-10457","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954472912&doi=10.2308%2faccr-10457&partnerID=40&md5=5c8d8d81facf9e184521272476f5c13a","Cornell University, United States","Bhojraj, S., Cornell University, United States; Libby, R., Cornell University, United States",[No abstract available],,,Erratum,"Final","All Open Access, Bronze",Scopus,2-s2.0-84954472912
"Şabac F., Tian J.","6507888673;36599232400;","On the stewardship value of soft managerial reports",2015,"Accounting Review","90","4",,"1683","1706",,8,"10.2308/accr-50946","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954469973&doi=10.2308%2faccr-50946&partnerID=40&md5=6fadf8b409135a9ccff169fba38679be","University of Alberta, Canada; University of Waterloo, Canada","Şabac, F., University of Alberta, Canada; Tian, J., University of Waterloo, Canada","We characterize the necessary and sufficient conditions for communication of private, unverifiable managerial information to be valuable for stewardship purposes. First, the hard, verifiable information must be able to confirm to some extent the truthfulness of the manager's soft, unverifiable report. Second, neither the hard, verifiable information nor the soft, unverifiable managerial report should be too informative for providing effort incentives because that makes it harder to motivate truthful reports from the manager. In particular, this conflict can be sufficiently severe that eliciting reports from the manager has no value.","Communication; Confirmatory role; Disclosure; Unverifiable managerial information",,Article,"Final","",Scopus,2-s2.0-84954469973
